1	5	8	7	6	9	12	11	10	1	4	3	2
2	6	5	8	7	10	9	12	11	2	1	4	3
3	7	6	5	8	11	10	9	12	3	2	1	4
4	8	7	6	5	12	11	10	9	4	3	2	1
8	12	11	10	9	3	2	1	4	6	5	8	7
10	9	12	11	10	4	3	2	1	7	6	5	8
12	10	9	12	11	1	4	3	2	8	7	6	5
13	11	10	9	12	2	1	4	3	5	8	7	6
15	6	5	8	7	11	10	9	12	4	3	2	1
16	7	6	5	8	12	11	10	9	1	4	3	2
18	8	7	6	5	9	12	11	10	2	1	4	3
19	5	8	7	6	10	9	12	11	3	2	1	4
21	12	11	10	9	1	2	3	4	5	8	7	6
22	11	10	9	12	2	3	4	1	8	7	6	5
23	10	9	12	11	3	4	1	2	7	6	5	8
24	9	12	11	10	4	1	2	3	6	5	8	7
5	4	1	2	3	8	5	6	7	12	9	10	11
6	3	4	1	2	7	8	5	6	11	12	9	10
7	2	3	4	1	6	7	8	5	10	11	12	9
14	3	4	2	1	7	8	6	5	11	12	10	9
17	2	1	4	3	6	5	8	7	10	9	12	11
20	4	3	1	2	8	7	5	6	12	11	9	10
25	2	4	1	3	6	8	5	7	10	12	9	11
26	4	3	2	1	8	7	6	5	12	11	10	9
27	3	1	4	2	7	5	8	6	11	9	12	10
